feature_name,importance_type,importance_score,raw_coefficient,influence_direction
rainfall_seasonality_index,permutation_importance,0.1506,0.1506,NON_LINEAR_CONTRIBUTION
dec_mm,permutation_importance,0.0103,0.0103,NON_LINEAR_CONTRIBUTION
oct_mm,permutation_importance,0.0011,0.0011,NON_LINEAR_CONTRIBUTION
winter_rainfall_normal_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
pre_monsoon_rainfall_normal_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
jan_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
peak_rainfall_month,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
subdivision_monsoon_std_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
subdivision_monsoon_mean_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
jun_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
sep_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
post_monsoon_rainfall_normal_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
monsoon_rainfall_normal_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
subdivision_annual_min_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
subdivision_annual_max_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
subdivision_historical_mean_annual_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
may_mm,permutation_importance,0.0,0.0,NON_LINEAR_CONTRIBUTION
jul_mm,permutation_importance,-0.0046,-0.0046,NON_LINEAR_CONTRIBUTION
aug_mm,permutation_importance,-0.0046,-0.0046,NON_LINEAR_CONTRIBUTION
rainfall_variability_cv,permutation_importance,-0.0057,-0.0057,NON_LINEAR_CONTRIBUTION
subdivision_historical_std_annual_mm,permutation_importance,-0.0069,-0.0069,NON_LINEAR_CONTRIBUTION
annual_rainfall_normal_mm,permutation_importance,-0.008,-0.008,NON_LINEAR_CONTRIBUTION
apr_mm,permutation_importance,-0.008,-0.008,NON_LINEAR_CONTRIBUTION
pre_monsoon_concentration_ratio,permutation_importance,-0.008,-0.008,NON_LINEAR_CONTRIBUTION
monsoon_concentration_ratio,permutation_importance,-0.0092,-0.0092,NON_LINEAR_CONTRIBUTION
peak_month_rainfall_mm,permutation_importance,-0.0103,-0.0103,NON_LINEAR_CONTRIBUTION
feb_mm,permutation_importance,-0.0195,-0.0195,NON_LINEAR_CONTRIBUTION
nov_mm,permutation_importance,-0.0195,-0.0195,NON_LINEAR_CONTRIBUTION
mar_mm,permutation_importance,-0.023,-0.023,NON_LINEAR_CONTRIBUTION
